nikola | 17-06-2022 11:27:17 | Fatal Database Error | An error occurred while trying to establish a database connection in 'get_connection()' | No
nikola | 17-06-2022 11:31:27 | Fatal Database Error | An error occurred while trying to establish a database connection in 'get_connection()' | No
nikola | 17-06-2022 11:32:08 | Create backup error | The required files are not present in the system. Cannot continue with the operation | No
nikola | 17-06-2022 11:33:09 | Create backup error | The required files are not present in the system. Cannot continue with the operation | No
nikola | 17-06-2022 11:38:45 | Log file read by member | Log file read by member | No
nikola | 17-06-2022 11:39:00 | Log file read by member | Log file read by member | No
nikola | 17-06-2022 11:40:35 | Log file read by member | Log file read by member | No
nikola | 17-06-2022 11:45:50 | Log file read by member | Log file read by member | No
nikola | 18-06-2022 01:24:02 | System Admin Added | System admin named newadmin has been added to the system | No
nikola | 18-06-2022 01:27:24 | System Admin Added | System admin named new has been added to the system | No
nikola | 18-06-2022 01:31:42 | Admin Deleted | System admin '#1235' has been deleted from the system | No
nikola | 18-06-2022 01:31:55 | Admin Deleted | System admin '#1236' has been deleted from the system | No
nikola | 18-06-2022 01:41:17 | Advisor Added | Advisor named 'newadvisor' has been added to the system | No
nikola | 18-06-2022 01:42:02 | Advisor Deleted | Advisor '#1237' has been deleted from the system | No
nikola | 18-06-2022 01:54:28 | User updated password | User #2 update their own password | No
nikola | 18-06-2022 10:36:19 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 10:36:19 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 10:36:20 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 10:37:04 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 10:37:10 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 10:37:11 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 10:37:56 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 10:37:58 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 10:37:59 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 10:38:10 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 10:39:04 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 10:39:14 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 10:40:00 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 10:40:11 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 10:40:36 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 10:41:15 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 10:41:21 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 10:45:25 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 10:45:32 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 10:50:36 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 10:51:29 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 10:51:31 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 10:51:32 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 10:51:51 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 10:51:52 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 10:53:34 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 10:53:34 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 10:53:35 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 10:53:39 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 11:01:27 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 11:01:45 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 11:01:52 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 11:01:55 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 11:02:16 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 11:02:18 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 11:02:19 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 11:02:19 | Member Added | Member '#2475252018 has been added to the system' | No
nikola | 18-06-2022 11:02:22 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 11:05:20 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 11:05:26 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 11:05:27 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 11:05:47 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 11:05:48 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 11:05:49 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 11:06:22 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 11:06:23 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 11:06:24 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 11:06:24 | Member Added | Member '#4107310220 has been added to the system' | No
nikola | 18-06-2022 11:06:25 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 11:06:34 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 11:08:00 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 11:08:01 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
nikola | 18-06-2022 11:08:03 | Input exceeded maximum length | Input by user exceeded maximum length of 255 characters | Yes
